barcodeGroup,fwd,rvs
cole1-group-A1,M527,M528
cole1-group-B1,M543,M528
cole1-group-C1,M544,M528
cole1-group-D1,M545,M528
cole1-group-E1,M854,M528
cole1-group-F1,M855,M528
cole1-group-G1,M856,M528
cole1-group-H1,M857,M528
cole1-group-A2,M527,M546
cole1-group-B2,M543,M546
cole1-group-C2,M544,M546
cole1-group-D2,M545,M546
cole1-group-E2,M854,M546
cole1-group-F2,M855,M546
cole1-group-G2,M856,M546
cole1-group-H2,M857,M546
cole1-group-A3,M527,M547
cole1-group-B3,M543,M547
cole1-group-C3,M544,M547
cole1-group-D3,M545,M547
cole1-group-E3,M854,M547
cole1-group-F3,M855,M547
cole1-group-G3,M856,M547
cole1-group-H3,M857,M547
cole1-group-A4,M527,M881
cole1-group-B4,M543,M881
cole1-group-C4,M544,M881
cole1-group-D4,M545,M881
cole1-group-E4,M854,M881
cole1-group-F4,M855,M881
cole1-group-G4,M856,M881
cole1-group-H4,M857,M881
cole1-group-A5,M527,M858
cole1-group-B5,M543,M858
cole1-group-C5,M544,M858
cole1-group-D5,M545,M858
cole1-group-E5,M854,M858
cole1-group-F5,M855,M858
cole1-group-G5,M856,M858
cole1-group-H5,M857,M858
cole1-group-A6,M527,M859
cole1-group-B6,M543,M859
cole1-group-C6,M544,M859
cole1-group-D6,M545,M859
cole1-group-E6,M854,M859
cole1-group-F6,M855,M859
cole1-group-G6,M856,M859
cole1-group-H6,M857,M859
